Fiyat,Yıl,Kilometre,İlan Tarihi,Ortalama Kasko,Ortalama Trafik Sigortası,Üretim Yılı (İlk/Son),Silindir Sayısı,Koltuk Sayısı,Bagaj Hacmi,Yakıt Deposu,Seri,Model,Vites Tipi,Sınıfı,is_Nissan,Kimden_Sahibinden,Kimden_Yetkili Bayiden,Yakıt Tipi_Dizel,Yakıt Tipi_Elektrik,Yakıt Tipi_Hibrit,Yakıt Tipi_LPG & Benzin,Kasa Tipi_Coupe,Kasa Tipi_Crossover,Kasa Tipi_Hard top,Kasa Tipi_Panelvan,Kasa Tipi_Pick-Up,Kasa Tipi_SUV,Çekiş_AWD (Elektronik),Çekiş_Arkadan İtiş,Çekiş_Önden Çekiş,Renk_Bej,Renk_Beyaz,Renk_Bordo,Renk_Diğer,Renk_Füme,Renk_Gri,Renk_Gri (Gümüş),Renk_Gri (metalik),Renk_Gri (titanyum),Renk_Kahverengi,Renk_Kırmızı,Renk_Lacivert,Renk_Mavi,Renk_Mavi (metalik),Renk_Mor,Renk_Sarı,Renk_Siyah,Renk_Turuncu,Renk_Yeşil,Renk_Yeşil (metalik),Renk_Şampanya,total_painted_parts,total_changed_parts,is_fully_original,paint_damage_score,sağ_arka_çamurluk_durumu,sol_arka_çamurluk_durumu,sağ_ön_çamurluk_durumu,sol_ön_çamurluk_durumu,sağ_arka_kapı_durumu,sol_arka_kapı_durumu,sağ_ön_kapı_durumu,sol_ön_kapı_durumu,arka_kaput_durumu,motor_kaputu_durumu,ön_tampon_durumu,arka_tampon_durumu,tavan_durumu,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Aks Aralığı,Jant Boyutu,log_Fiyat
2425000,2025,6001,0.5075853566395461,9.730596924817306,9.436161511244523,2024.5247264714453,3,5,6.255935114361534,49.847890838781495,1443467.618651893,2132233.9,2,1477336.4188118812,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.5,5.099866427824199,5.4,6.7,4.6,270.0,5500.0,1600.0,10.1,198.0,8.388222810119277,1806.0,1590.0,7.530479995245536,1315.0,7.881182202227102,17,14.70134249472477
2900000,2025,16000,0.5405669725774542,9.80119618940601,9.426601507458836,2024.5617175851592,4,5,6.3122409323158095,51.93723366756103,1443467.618651893,2509500.0,2,1477336.4188118812,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1300.5,5.099866427824199,6.4,7.9,5.4,270.0,5500.0,1800.0,9.2,199.0,8.395251520610994,1848.0,1625.0,7.591861714889934,1450.0,7.888334500738654,19,14.88022163978423
1150000,2015,265000,0.4373960084054831,9.84792198708642,9.310728546007452,2015.5,4,5,5.996452088619021,55.0,1443467.618651893,1349125.0,0,1477336.4188118812,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461.0,4.709530201312334,3.8,4.2,3.6,260.0,4000.0,1750.0,12.4,180.0,8.384804003370492,1800.0,1590.0,7.555381944240273,1365.0,7.881182202227102,19,13.955273369904273
1240000,2014,196000,0.4036188296250851,9.796904067133344,9.310728546007452,2015.5,4,5,5.996452088619021,55.0,1443467.618651893,1385716.8539325842,2,1477336.4188118812,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0,1.3862943611198906,2,2,2,1,1,1,1,1,1,1,1,1,1,1598.0,4.875197323201151,4.6,5.3,4.2,320.0,4000.0,1750.0,10.7,182.0,8.384804003370492,1800.0,1590.0,7.603897968521881,1461.0,7.881182202227102,17,14.030622744032508
690000,2011,305000,0.35472032251513785,9.696057427382835,9.341037499647447,2011.4769785390597,4,5,6.1155193170768785,61.57371714688975,1443467.618651893,974326.4367816092,0,1477336.4188118812,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0,0,0,0,0,0,0,0,3,0,0,0,0,1500.5,4.736198448394496,5.4,6.2,5.0,240.0,4000.0,2000.0,12.2,174.0,8.370084326378025,1780.0,1615.0,7.565793282428515,1407.0,7.875119281040293,16,13.444448325847754
1329900,2021,43500,0.10989903746850893,9.38915578944085,9.286930974137896,2022.0,3,5,6.0473721790462776,46.0,1111294.2708333333,1434084.5454545454,1,1296652.5801526718,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0,0.6931471805599453,0,0,0,0,0,0,0,0,1,0,0,0,0,999.0,4.7535901911063645,5.2,5.9,4.8,200.0,5250.0,3000.0,11.8,180.0,8.345455428161928,1800.0,1595.0,7.427144133408616,1187.0,7.877397186353287,17,14.100615061337209
850000,2008,199887,0.23227474501441825,9.499196754655733,9.352360631996612,2010.5,4,5,6.018593214496234,65.0,1443467.618651893,872834.1929824562,0,1669651.0332640333,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,0.0,0,1.0986122886681096,0,0,0,0,0,0,0,0,0,0,2,2,0,1598.0,4.7535901911063645,6.7,8.4,5.7,156.0,6000.0,4400.0,12.0,175.0,8.370084326378025,1780.0,1615.0,7.5126175446745105,1297.0,7.875119281040293,16,13.652992804936396
2269000,2022,27000,0.49473253051167543,9.72346290355937,9.43068654353973,2021.7365994204772,4,5,6.237082272293617,52.30753531025971,1443467.618651893,2114666.6666666665,2,1477336.4188118812,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0,0.6931471805599453,1,1,1,1,1,1,1,1,1,1,1,1,1,1300.5,5.099866427824199,5.4,6.7,4.6,270.0,5500.0,1600.0,10.1,198.0,8.388222810119277,1806.0,1590.0,7.530479995245536,1315.0,7.881182202227102,19,14.634850204484668
1499000,2024,39000,0.31896014434146824,9.691160293655768,9.286930974137896,2022.0,3,5,6.0473721790462776,46.0,1111294.2708333333,1582064.2857142857,1,1296652.5801526718,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.0,4.7535901911063645,5.2,5.9,4.8,200.0,5250.0,3000.0,11.8,180.0,8.345455428161928,1800.0,1595.0,7.427144133408616,1187.0,7.877397186353287,19,14.22030944419592
1545000,2025,26500,0.10466824178298872,9.38915578944085,9.286930974137896,2022.0,3,5,6.0473721790462776,46.0,1111294.2708333333,1434084.5454545454,1,1296652.5801526718,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,0.0,0,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,999.0,4.7535901911063645,5.2,5.9,4.8,200.0,5250.0,3000.0,11.8,180.0,8.345455428161928,1800.0,1595.0,7.427144133408616,1187.0,7.877397186353287,17,14.250535115562965
1485000,2024,17000,0.10992085467218682,9.38915578944085,9.286930974137896,2022.0,3,5,6.0473721790462776,46.0,1111294.2708333333,1434084.5454545454,1,1296652.5801526718,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.0,4.7535901911063645,5.2,5.9,4.8,200.0,5250.0,3000.0,11.8,180.0,8.345455428161928,1800.0,1595.0,7.427144133408616,1187.0,7.877397186353287,17,14.210926003619385
1425000,2015,120000,0.3886243018792268,9.691407573577898,9.34425918954197,2014.5,4,7,6.311734809152915,60.0,1786400.3333333333,1479494.2790697673,2,1669651.0332640333,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0986122886681096,0.0,0,1.0986122886681096,0,0,0,2,0,0,0,0,0,2,0,0,0,1598.0,4.875197323201151,5.1,5.8,4.7,320.0,4000.0,1750.0,11.4,180.0,8.443331342817782,1820.0,1695.0,7.666690200080086,1540.0,7.903596289614301,19,14.169683073439028
849950,2016,199000,0.39971923560823974,9.583213415483687,9.4535218170269,2016.5,4,5,5.872117789475416,46.0,1111294.2708333333,907842.8571428572,0,1296652.5801526718,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0,1.3862943611198906,1,0,0,0,2,0,0,2,0,0,0,0,0,1461.0,4.709530201312334,4.0,4.6,3.7,260.0,4000.0,2750.0,11.2,175.0,8.327484416188264,1765.0,1565.0,7.479299637782834,1305.0,7.836369760545124,18,13.65293397974602
1779000,2022,135000,0.44848176025156583,9.730188773169,9.394157676004872,2021.7207679544993,4,5,6.21886574637747,52.64249910834587,1443467.618651893,2132233.9,2,1477336.4188118812,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.5,5.099866427824199,5.4,6.7,4.6,270.0,5500.0,1600.0,10.1,198.0,8.388222810119277,1806.0,1590.0,7.530479995245536,1315.0,7.881182202227102,17,14.39156252876136
2349000,2024,16040,0.5012683189062868,9.726986264539361,9.433455800595896,2023.5941506726463,4,5,6.248011180451017,50.63681104281227,1443467.618651893,2132233.9,2,1477336.4188118812,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.5,5.099866427824199,5.4,6.7,4.6,270.0,5500.0,1600.0,10.1,198.0,8.388222810119277,1806.0,1590.0,7.530479995245536,1315.0,7.881182202227102,17,14.66950068935403
1390000,2016,110000,0.4917674471912612,9.772182251758139,9.394576760974909,2016.0,4,5,5.996452088619021,55.0,1443467.618651893,1412068.9917355373,2,1477336.4188118812,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598.0,4.875197323201151,4.6,5.3,4.2,320.0,4000.0,1750.0,10.7,182.0,8.384804003370492,1800.0,1590.0,7.603897968521881,1461.0,7.881182202227102,19,14.144815024531075
