Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Kimden,Orjinal,Lokal boyalı,Boyalı,Değişmiş,Belirtilmemiş,Üretim Yılı (İlk/Son),Sınıfı,Ortalama Kasko,Ortalama Trafik Sigortası,Silindir Sayısı,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Ortalama Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Koltuk Sayısı,Bagaj Hacmi,Ön Lastik,Aks Aralığı
2.425.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2025,6.001 km,Otomatik,Benzin,SUV,Gri,,,Önden Çekiş,,,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2.900.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Platinum Premium,2025,16.000 km,Otomatik,Benzin,SUV,Gri,,,4WD (Sürekli),,,Belirtilmemiş,Sahibinden,-,-,-,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,,,,,,,,,,,,,,,,,,,,,,
1.150.000TL,26 Şubat 2026,Nissan,Qashqai,1.5 dCi Platinum Premium Pack,2015,265.000 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2017,H Segment,18.918TL,11.055TL,4.0,260 nm,4000 rpm,1750 rpm,"12,4 sn",180 km/s,"3,8 lt","4,2 lt","3,6 lt",4379 mm,1800 mm,1590 mm,1910 kg,1365 kg,5.0,401 lt,225/45 R19,2646.0
1.240.000TL,26 Şubat 2026,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2014,196.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,3 boyalı,Sahibinden,-,-,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Ön Çamurluk,-,Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2014 - 2017,H Segment,17.977TL,11.055TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,215/60 R17,2646.0
690.000TL,26 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna,2011,305.000 km,Düz,Dizel,SUV,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 değişen,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Arka Kaput,-,,,,,,,,,,,,,,,,,,,,,,
1.329.900TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2021,43.500 km,Yarı Otomatik,Benzin,SUV,Mavi (metalik),999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,1 lokal boyalı,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Arka Kaput,-,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
850.000TL,26 Şubat 2026,Nissan,Qashqai,1.6 Tekna,2008,199.887 km,Düz,Benzin,SUV,Gri,1598 cc,115 hp,Önden Çekiş,"6,7 lt",65 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk,-,Ön Tampon Arka Tampon,-,-,2007 - 2014,I Segment,13.348TL,11.525TL,4.0,156 nm,6000 rpm,4400 rpm,12 sn,175 km/s,"6,7 lt","8,4 lt","5,7 lt",4315 mm,1780 mm,1615 mm,1830 kg,1297 kg,5.0,410 lt,215/65 R16,2630.0
2.269.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Platinum Premium Pack,2022,27.000 km,Otomatik,Benzin,-,Bordo,1201 - 1400 cm3,151 - 175 HP,-,,,1 lokal boyalı,Galeriden,-,Sol Arka Çamurluk,-,-,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,,,,,,,,,,,,,,,,,,,,,,
1.499.000TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Platinum,2024,39.000 km,Yarı Otomatik,Benzin,SUV,Füme,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2020 - 2024,B Segment,16.173TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,225/45 R19,2636.0
1.545.000TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2025,26.500 km,Yarı Otomatik,Benzin,SUV,Bordo,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,2 lokal boyalı,Galeriden,Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Arka Çamurluk Sağ Arka Kapı,-,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
